Sample ID,Mean Pore Area,Max Pore Area,Mean Pore Diameter,Max Pore Diameter
11,160.3266667,720.12,14.165,50.84
11,152.2633333,424.55,19.28666667,49.94
11,736.91625,2310.84,33.49375,79.23
11,77.02777778,397.68,9.653333333,37.45
11,1187.662,4890.37,49.544,171.04
11,355.07,1751.94,24.19857143,81.93
11,138.0707692,892.09,13.72615385,50.15
11,228.267619,1563.84,18.35285714,79.94
11,693.25,3079.32,35.48,114.04
11,469.3316667,2278.59,25.54666667,94.39
11,782.2222222,2832.12,44.93666667,101.6
11,598.9618182,2472.06,34.06090909,84
11,1400.831667,6137.15,64.52166667,279.81
11,2094.083333,3482.38,63.73333333,93.88
11,480.5914286,1590.71,28.77285714,68.18
11,1131.235,4299.23,29.79,86.89
11,2579.536667,7593.51,51.22333333,128.59
11,236.46,236.46,23.87,23.87
11,137.035,150.47,13.975,14.84
11,278.374,548.15,23.284,39.61
12,281.2207143,1984.73,16.815,64.17
12,120.727619,763.36,12.90666667,51.71
12,54.25636364,217.44,10.10090909,30.42
12,202.9009524,1892.2,14.11571429,76.29
12,418.6908333,3756.65,18.20583333,87.56
12,315.8924,3756.65,17.2376,87.56
12,72.31789474,721.72,8.582631579,50.17
12,536.3546667,6356.69,18.028,117.91
12,88.63157895,772.61,10.75578947,53.43
12,305.3423529,3678,14.85176471,97.05
12,460.3283333,5514.68,25.58166667,140.8
12,99.622,374.74,13.014,34.01
12,134.6526316,411.75,14.99789474,39.66
12,134.1655556,601.43,15.13111111,43.87
12,181.2016667,1642.38,16.13083333,92.59
12,32.385,46.26,8.945,13.08
12,481.1466667,1378.67,24.18,57.92
12,3289.38,3289.38,85.09,85.09
12,3289.38,3289.38,85.09,85.09
12,4.63,4.63,1,1
22,738.756,3632.66,26.83,118.08
22,210.092,974.06,15.398,61.37
22,122.234,389.62,12.176,34.63
22,33.10666667,103.14,6.683333333,22.28
22,21.392,34.38,3.796,5.53
22,403.9475,1585.23,17.3075,62.57
22,26.74,87.86,4.148,10.52
22,25.785,64.94,4.63,8.29
22,19.1,30.56,4.065,6.18
22,11.46,11.46,3.91,3.91
22,37.245,84.04,5.505,10.52
22,34.38,103.14,4.8325,11.06
22,21.009,122.23,4.341,22.28
22,9.932,19.1,2.434,4.37
22,48.38333333,129.87,5.67,13.11
22,14.00666667,26.74,2.756666667,4.37
22,4.63,4.63,1,1
22,11.46,11.46,2.76,2.76
22,4.63,4.63,1,1
22,7.64,7.64,1.95,1.95
26,15.6875,38.35,3.6825,8.35
26,14.52333333,31.37,3.238333333,5.9
26,59.26,128.98,8.295,12.52
26,54.0325,181.27,5.9325,15.05
26,25.27375,90.63,5.06,11.36
26,33.69666667,45.32,6.643333333,7.92
26,26.725,97.61,4.173333333,10.89
26,13.94,13.94,2.64,2.64
26,31.37,31.37,5.9,5.9
26,16.12125,55.77,3.16,8.35
26,29.88,80.18,4.468571429,9.52
26,13.945,20.92,3.49,5.28
26,15.93571429,34.86,3.647142857,6.73
26,10.46,10.46,2.64,2.64
26,29.282,94.12,4.56,10.05
26,12.2025,17.43,3.295,4.17
26,17.43,31.37,3.884,5.9
26,20.91333333,31.37,5.206666667,7.7
26,18.826,38.35,4.126,5.9
26,12.2,27.89,3.085,6.73
27,25.5425,56.37,4.86,8.39
27,51.085,66.94,8.025,10.11
27,31.20571429,151.49,4.272857143,13.66
27,29.36,49.32,4.976666667,7.74
27,33.21857143,91.6,5.232857143,10.94
27,27.01333333,66.94,4.05,8.39
27,13.2125,21.14,3.3975,5.31
27,8.81,10.57,2.265,2.65
27,52.142,126.83,8.592,15.13
27,24.6625,73.98,3.995,9.57
27,16.21,52.85,3.052,7.74
27,29.36,88.08,5.028333333,12.02
27,17.61666667,24.66,4.606666667,7.74
27,7.93,10.57,2.3475,3.75
27,28.18,28.18,5.31,5.31
27,21.14,35.23,4.81,7.74
27,39.635,130.35,7.17875,17.81
27,24.075,59.89,4.471666667,9.38
27,27.305,45.8,4.975,7.74
27,46.97666667,98.65,6.51,10.94
44,19.7,23.64,6.365,9.92
44,7.88,7.88,1.98,1.98
44,3.94,3.94,1.98,1.98
44,13.13333333,23.64,2.8,4.44
44,13.13333333,23.64,3.19,5.61
44,126.07,126.07,12.71,12.71
