class,precision,recall,f1-score,support,fold #
0.0,0.58,0.88,0.7,8.0,1.0
1.0,1.0,0.33,0.5,3.0,1.0
2.0,0.91,0.77,0.83,13.0,1.0
0.0,0.0,0.0,0.0,9.0,2.0
1.0,0.0,0.0,0.0,3.0,2.0
2.0,0.5,1.0,0.67,12.0,2.0
0.0,0.6,0.5,0.55,6.0,3.0
1.0,0.0,0.0,0.0,3.0,3.0
2.0,0.68,0.87,0.76,15.0,3.0
0.0,0.0,0.0,0.0,13.0,4.0
1.0,0.0,0.0,0.0,5.0,4.0
2.0,0.25,1.0,0.4,6.0,4.0
0.0,0.79,1.0,0.88,11.0,5.0
1.0,0.5,0.33,0.4,3.0,5.0
2.0,0.75,0.6,0.67,10.0,5.0
0.0,0.0,0.0,0.0,8.0,6.0
1.0,0.0,0.0,0.0,6.0,6.0
2.0,0.41,0.9,0.56,10.0,6.0
0.0,0.0,0.0,0.0,10.0,7.0
1.0,0.0,0.0,0.0,3.0,7.0
2.0,0.46,1.0,0.63,11.0,7.0
0.0,0.5,0.11,0.18,9.0,8.0
1.0,0.0,0.0,0.0,5.0,8.0
2.0,0.41,0.9,0.56,10.0,8.0
0.0,0.67,1.0,0.8,10.0,9.0
1.0,0.0,0.0,0.0,5.0,9.0
2.0,0.78,0.78,0.78,9.0,9.0
0.0,0.5,0.14,0.22,7.0,10.0
1.0,0.0,0.0,0.0,6.0,10.0
2.0,0.5,1.0,0.67,11.0,10.0
