class,precision,recall,f1-score,support,fold #
0.0,0.58,0.88,0.7,8.0,1.0
1.0,0.0,0.0,0.0,3.0,1.0
2.0,0.92,0.85,0.88,13.0,1.0
0.0,0.89,0.89,0.89,9.0,2.0
1.0,0.4,0.67,0.5,3.0,2.0
2.0,0.9,0.75,0.82,12.0,2.0
0.0,0.56,0.83,0.67,6.0,3.0
1.0,0.0,0.0,0.0,3.0,3.0
2.0,0.92,0.73,0.81,15.0,3.0
0.0,0.67,0.62,0.64,13.0,4.0
1.0,0.0,0.0,0.0,5.0,4.0
2.0,0.36,0.67,0.47,6.0,4.0
0.0,0.88,0.64,0.74,11.0,5.0
1.0,0.0,0.0,0.0,3.0,5.0
2.0,0.6,0.9,0.72,10.0,5.0
0.0,0.6,0.75,0.67,8.0,6.0
1.0,1.0,0.17,0.29,6.0,6.0
2.0,0.69,0.9,0.78,10.0,6.0
0.0,0.73,0.8,0.76,10.0,7.0
1.0,0.5,0.33,0.4,3.0,7.0
2.0,0.73,0.73,0.73,11.0,7.0
0.0,0.5,0.67,0.57,9.0,8.0
1.0,0.33,0.2,0.25,5.0,8.0
2.0,0.67,0.6,0.63,10.0,8.0
0.0,0.82,0.9,0.86,10.0,9.0
1.0,1.0,0.2,0.33,5.0,9.0
2.0,0.75,1.0,0.86,9.0,9.0
0.0,0.5,0.71,0.59,7.0,10.0
1.0,0.5,0.17,0.25,6.0,10.0
2.0,0.67,0.73,0.7,11.0,10.0
