Class,Precision,Recall,f1score,support,fold #
0.0,0.75,0.6,0.67,10.0,1.0
1.0,0.6,0.75,0.67,8.0,1.0
2.0,1.0,1.0,1.0,6.0,1.0
0.0,0.55,0.86,0.67,7.0,2.0
1.0,0.86,0.55,0.67,11.0,2.0
2.0,1.0,1.0,1.0,6.0,2.0
0.0,0.83,0.71,0.77,7.0,3.0
1.0,0.71,0.71,0.71,7.0,3.0
2.0,0.91,1.0,0.95,10.0,3.0
0.0,0.83,0.56,0.67,9.0,4.0
1.0,0.5,0.4,0.44,5.0,4.0
2.0,0.71,1.0,0.83,10.0,4.0
0.0,0.58,0.78,0.67,9.0,5.0
1.0,0.5,0.29,0.36,7.0,5.0
2.0,1.0,1.0,1.0,8.0,5.0
0.0,0.75,0.6,0.67,5.0,6.0
1.0,0.75,0.82,0.78,11.0,6.0
2.0,0.88,0.88,0.88,8.0,6.0
0.0,0.88,0.78,0.82,9.0,7.0
1.0,0.44,0.67,0.53,6.0,7.0
2.0,0.86,0.67,0.75,9.0,7.0
0.0,0.73,0.8,0.76,10.0,8.0
1.0,0.57,0.57,0.57,7.0,8.0
2.0,0.83,0.71,0.77,7.0,8.0
0.0,0.8,1.0,0.89,8.0,9.0
1.0,0.83,0.5,0.62,10.0,9.0
2.0,0.62,0.83,0.71,6.0,9.0
0.0,0.67,0.67,0.67,3.0,10.0
1.0,0.83,0.83,0.83,12.0,10.0
2.0,0.89,0.89,0.89,9.0,10.0
