Class,Precision,Recall,f1score,support,fold #
0.0,0.9,0.9,0.9,10.0,1.0
1.0,0.71,0.62,0.67,8.0,1.0
2.0,0.71,0.83,0.77,6.0,1.0
0.0,0.5,0.57,0.53,7.0,2.0
1.0,0.5,0.44,0.47,9.0,2.0
2.0,0.75,0.75,0.75,8.0,2.0
0.0,0.78,0.78,0.78,9.0,3.0
1.0,0.5,0.6,0.55,5.0,3.0
2.0,1.0,0.9,0.95,10.0,3.0
0.0,0.75,0.5,0.6,6.0,4.0
1.0,0.56,0.83,0.67,6.0,4.0
2.0,1.0,0.92,0.96,12.0,4.0
0.0,0.0,0.0,0.0,7.0,5.0
1.0,0.33,1.0,0.5,8.0,5.0
2.0,0.0,0.0,0.0,9.0,5.0
0.0,0.86,0.67,0.75,9.0,6.0
1.0,0.7,0.7,0.7,10.0,6.0
2.0,0.71,1.0,0.83,5.0,6.0
0.0,0.17,0.25,0.2,4.0,7.0
1.0,0.67,0.46,0.55,13.0,7.0
2.0,0.78,1.0,0.88,7.0,7.0
0.0,0.0,0.0,0.0,11.0,8.0
1.0,0.25,1.0,0.4,6.0,8.0
2.0,0.0,0.0,0.0,7.0,8.0
0.0,0.67,1.0,0.8,6.0,9.0
1.0,1.0,0.6,0.75,10.0,9.0
2.0,0.89,1.0,0.94,8.0,9.0
0.0,0.0,0.0,0.0,8.0,10.0
1.0,0.38,1.0,0.55,9.0,10.0
2.0,0.0,0.0,0.0,7.0,10.0
