class,precision,recall,f1-score,support,fold #
0.0,0.33,0.25,0.29,4.0,1.0
1.0,0.5,0.43,0.46,7.0,1.0
2.0,0.73,0.85,0.79,13.0,1.0
0.0,0.0,0.0,0.0,2.0,2.0
1.0,0.5,0.2,0.29,10.0,2.0
2.0,0.6,0.75,0.67,12.0,2.0
0.0,0.0,0.0,0.0,4.0,3.0
1.0,0.31,1.0,0.48,5.0,3.0
2.0,1.0,0.53,0.7,15.0,3.0
0.0,1.0,0.12,0.22,8.0,4.0
1.0,0.56,0.5,0.53,10.0,4.0
2.0,0.36,0.83,0.5,6.0,4.0
0.0,0.33,0.5,0.4,2.0,5.0
1.0,0.62,0.42,0.5,12.0,5.0
2.0,0.62,0.8,0.7,10.0,5.0
0.0,0.0,0.0,0.0,2.0,6.0
1.0,0.64,0.58,0.61,12.0,6.0
2.0,0.54,0.7,0.61,10.0,6.0
0.0,0.5,0.2,0.29,5.0,7.0
1.0,0.58,0.88,0.7,8.0,7.0
2.0,0.9,0.82,0.86,11.0,7.0
0.0,0.67,0.67,0.67,3.0,8.0
1.0,0.71,0.45,0.56,11.0,8.0
2.0,0.57,0.8,0.67,10.0,8.0
0.0,1.0,0.2,0.33,5.0,9.0
1.0,0.83,0.5,0.62,10.0,9.0
2.0,0.53,1.0,0.69,9.0,9.0
0.0,0.0,0.0,0.0,4.0,10.0
1.0,0.5,0.22,0.31,9.0,10.0
2.0,0.44,0.64,0.52,11.0,10.0
